Category,License,Dependency,Notes
Apache,"         Apache License, Version 2.0        (         http://opensource.org/licenses/apache2.0.php       )",org.osgi # org.osgi.compendium # 4.3.1,
Apache,"         Apache License, Version 2.0        (         http://opensource.org/licenses/apache2.0.php       )",org.osgi # org.osgi.core # 4.3.1,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.opencsv # opencsv # 3.8,
Apache,Apache 2.0 License (http://www.apache.org/licenses/LICENSE-2.0.html),org.apache.spark # spark-launcher_2.11 # 2.2.0,
Apache,Apache 2.0 License (http://www.apache.org/licenses/LICENSE-2.0.html),org.apache.spark # spark-tags_2.11 # 2.2.0,
Apache,Apache License Version 2.0 (LICENSE.txt),org.yaml # snakeyaml # 1.15,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.typesafe # config # 1.3.1,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty # 3.7.0.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-lang3 # 3.4,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.felix # org.apache.felix.framework # 5.4.0,
Apache,"Apache License, Version 2.0 (https://github.com/flyway/flyway/blob/master/LICENSE.txt)",org.flywaydb # flyway-core # 4.0.3,
Apache,"The Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.spark-project.spark # unused # 1.0.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-annotations # 2.8.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-core # 2.8.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-databind # 2.8.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.dataformat # jackson-dataformat-yaml # 2.8.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-jaxb-annotations # 2.8.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-paranamer # 2.8.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-scala_2.11 # 2.8.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # guava # 16.0.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # guava # 18.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.zaxxer # HikariCP-java6 # 2.3.7,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-beanutils # commons-beanutils # 1.9.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-collections # commons-collections # 3.2.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-io # commons-io # 1.3.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-logging # commons-logging # 1.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",javax.inject # javax.inject # 1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",log4j # log4j # 1.2.17,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.avro # avro # 1.8.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-compress # 1.8.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.commons # commons-math # 2.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-client # 2.10.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-framework # 2.10.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-recipes # 2.10.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.curator # curator-test # 2.10.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-core # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-bindings-soap # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-bindings-xml # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-databinding-aegis # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-databinding-jaxb # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-frontend-jaxrs # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-frontend-jaxws # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-frontend-simple # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-rs-client # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-rs-extension-providers # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-transports-http # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-ws-addr # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-ws-policy # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf # cxf-rt-wsdl # 3.1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf.dosgi # cxf-dosgi-ri-discovery-distributed # 1.7.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf.dosgi # cxf-dosgi-ri-discovery-local # 1.7.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.cxf.dosgi # cxf-dosgi-ri-dsw-cxf # 1.7.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.geronimo.specs # geronimo-servlet_3.0_spec # 1.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.neethi # neethi # 3.0.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.apache.ws.xmlschema # xmlschema-core # 2.2.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.jackson # jackson-core-asl # 1.9.13,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.jackson # jackson-mapper-asl # 1.9.13,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.codehaus.woodstox # woodstox-core-asl # 4.4.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.xerial.snappy # snappy-java # 1.1.1.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",xml-resolver # xml-resolver # 1.2,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalactic # scalactic_2.11 # 3.0.0,
Apache,"the Apache License, ASL Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",org.scalatest # scalatest_2.11 # 3.0.0,
BSD,BSD (LICENSE.txt),com.thoughtworks.paranamer # paranamer # 2.8,
BSD,BSD (LICENSE.txt),jline # jline # 0.9.94,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm # 5.0.4,
BSD,BSD (https://github.com/sbt/test-interface/blob/master/LICENSE),org.scala-sbt # test-interface # 1.0,
BSD,BSD 3-Clause (http://www.scala-lang.org/license.html),org.scala-lang # scala-library # 2.11.7,
BSD,BSD 3-Clause (http://www.scala-lang.org/license.html),org.scala-lang # scala-reflect # 2.11.7,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-parser-combinators_2.11 # 1.0.4,
BSD,BSD 3-clause (http://opensource.org/licenses/BSD-3-Clause),org.scala-lang.modules # scala-xml_2.11 # 1.0.5,
BSD,BSD-2-Clause (https://jdbc.postgresql.org/about/license.html),org.postgresql # postgresql # 9.4.1212,
BSD,New BSD License (http://www.opensource.org/licenses/bsd-license.php),org.hamcrest # hamcrest-core # 1.3,
BSD,The BSD License (http://www.opensource.org/licenses/bsd-license.php),org.codehaus.woodstox # stax2-api # 3.1.4,
BSD,Two-clause BSD-style license (http://github.com/sbt/junit-interface/blob/master/LICENSE.txt),com.novocode # junit-interface # 0.11,
BSD,Two-clause BSD-style license (http://github.com/slick/slick/blob/master/LICENSE.txt),com.typesafe.slick # slick-codegen_2.11 # 3.1.1,
BSD,Two-clause BSD-style license (http://github.com/slick/slick/blob/master/LICENSE.txt),com.typesafe.slick # slick_2.11 # 3.1.1,
CC0,CC0 (http://creativecommons.org/publicdomain/zero/1.0/),org.reactivestreams # reactive-streams # 1.0.0,
Common Public License,CPL (http://www.opensource.org/licenses/cpl1.0.txt),wsdl4j # wsdl4j # 1.6.3,
Common Public License,Common Public License Version 1.0 (http://www.opensource.org/licenses/cpl1.0.txt),junit # junit # 4.11,
GPL,CDDL+GPL License (http://glassfish.java.net/public/CDDL+GPL_1_1.html),com.sun.xml.bind # jaxb-core # 2.2.11,
GPL,CDDL+GPL License (http://glassfish.java.net/public/CDDL+GPL_1_1.html),com.sun.xml.bind # jaxb-impl # 2.2.11,
GPL,CDDL+GPL License (http://glassfish.java.net/public/CDDL+GPL_1_1.html),org.glassfish.jersey.bundles.repackaged # jersey-guava # 2.22.1,
GPL,CDDL+GPL License (http://glassfish.java.net/public/CDDL+GPL_1_1.html),org.glassfish.jersey.core # jersey-client # 2.22.1,
GPL,CDDL+GPL License (http://glassfish.java.net/public/CDDL+GPL_1_1.html),org.glassfish.jersey.core # jersey-common # 2.22.1,
GPL,CDDL+GPL License (http://glassfish.java.net/public/CDDL+GPL_1_1.html),org.glassfish.jersey.media # jersey-media-multipart # 2.22.1,
GPL,GPL2 w/ CPE (http://glassfish.java.net/public/CDDL+GPL_1_1.html),javax.ws.rs # javax.ws.rs-api # 2.0.1,
GPL,GPL2 w/ CPE (https://glassfish.java.net/public/CDDL+GPL_1_1.html),org.jvnet.mimepull # mimepull # 1.9.6,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html),javax.annotation # javax.annotation-api # 1.2,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html),javax.servlet # javax.servlet-api # 3.1.0,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.java.net/nonav/public/CDDL+GPL_1_1.html),org.glassfish.hk2 # hk2-api # 2.4.0-b31,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.java.net/nonav/public/CDDL+GPL_1_1.html),org.glassfish.hk2 # hk2-locator # 2.4.0-b31,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.java.net/nonav/public/CDDL+GPL_1_1.html),org.glassfish.hk2 # hk2-utils # 2.4.0-b31,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.dev.java.net/nonav/public/CDDL+GPL.html),org.glassfish.hk2 # osgi-resource-locator # 1.0.1,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.java.net/nonav/public/CDDL+GPL_1_1.html),org.glassfish.hk2.external # aopalliance-repackaged # 2.4.0-b31,
GPL with Classpath Extension,CDDL + GPLv2 with classpath exception (https://glassfish.java.net/nonav/public/CDDL+GPL_1_1.html),org.glassfish.hk2.external # javax.inject # 2.4.0-b31,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-classic # 1.1.3,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-core # 1.1.3,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.10,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.7,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-log4j12 # 1.6.1,
MIT,The MIT License (http://github.com/mockito/mockito/blob/master/LICENSE),org.mockito # mockito-all # 1.10.19,
Mozilla,MPL 1.1 (http://www.mozilla.org/MPL/MPL-1.1.html),org.javassist # javassist # 3.18.1-GA,
Mozilla,MPL 1.1 (http://www.mozilla.org/MPL/MPL-1.1.html),org.javassist # javassist # 3.19.0-GA,
Public Domain,Public Domain,org.tukaani # xz # 1.5,
Apache,Apache 2.0 License (http://www.apache.org/licenses/LICENSE-2.0.html),org.apache.commons # commons-io # 1.3.2,
Apache,Apache 2.0 License (http://www.apache.org/licenses/LICENSE-2.0.html),org.apache.zookeeper # zookeeper # 3.4.7,
unrecognized,none specified (none specified),org.dcs # org.dcs.commons # 0.3.0,
unrecognized,none specified (none specified),org.dcs # org.dcs.core # 0.6.0-SNAPSHOT,
unrecognized,none specified (none specified),org.dcs # org.dcs.data # 0.6.0-SNAPSHOT,
unrecognized,none specified (none specified),org.dcs # org.dcs.iot.kaa.client # 0.3.0-SNAPSHOT,
